pathway,path,pval,pval_adj,'-log10(pval_adj),relative_enrichment,MiRNA_1,MiRNA_2,MiRNA_3,MiRNA_4,MiRNA_5,MiRNA_6,MiRNA_7,MiRNA_8,MiRNA_9,MiRNA_10,MiRNA_11,MiRNA_12,MiRNA_13,MiRNA_14,MiRNA_15,MiRNA_16,MiRNA_17,MiRNA_18
Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex,,0.01065191,0.0300859555,1.5216361907,4.3267973856,hsa-miR-424-5p, hsa-miR-16-5p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,,,
RHOC GTPase cycle,,0.0105905137,0.0300859555,1.5216361907,2.9422222222,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-132-3p,,,,,,,,,,,,
Loss of MECP2 binding ability to the NCoR/SMRT complex,,0.0106843448,0.0300859555,1.5216361907,6.1296296296,hsa-miR-30c-5p, hsa-miR-19a-3p, hsa-miR-16-5p,,,,,,,,,,,,,,,
Integration of provirus,,0.0106843448,0.0300859555,1.5216361907,6.1296296296,hsa-miR-296-5p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
Negative epigenetic regulation of rRNA expression,,0.0105905137,0.0300859555,1.5216361907,2.9422222222,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-30b-5p, hsa-miR-132-3p,,,,,,,,,,,,
Diseases of Immune System,,0.0105905137,0.0300859555,1.5216361907,2.9422222222,hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-153-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,
GPCR downstream signalling,,0.0108784838,0.0305733791,1.514656559,1.7724230254,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,
Signaling by ALK,,0.0109958262,0.0308435048,1.5108362787,2.1493506494,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-21-3p,,,,,,,,,
Transcriptional Regulation by VENTX,,0.0110344345,0.0308921645,1.5101516605,2.3350970018,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-195-5p,,,,,,,,,,
Diseases associated with O-glycosylation of proteins,,0.0113177407,0.03156368,1.5008123677,3.4053497942,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-132-3p,,,,,,,,,,,,,
RUNX3 regulates BCL2L11 (BIM) transcription,,0.0113056515,0.03156368,1.5008123677,2.9035087719,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-130b-3p,,,,,,,,,,,,
Signaling by ERBB4,,0.0114979754,0.032004901,1.4947835121,2.135483871,hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,
G1/S Transition,,0.0115862269,0.0321413359,1.4929360766,1.8643113159,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
C-type lectin receptors (CLRs),,0.0115912319,0.0321413359,1.4929360766,2.3167104112,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,
Regulation of IFNA signaling,,0.0118187375,0.0325856273,1.4869739145,4.2031746032,hsa-miR-30c-5p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-30b-5p,,,,,,,,,,,,,,
RUNX3 regulates YAP1-mediated transcription,,0.0118187375,0.0325856273,1.4869739145,4.2031746032,hsa-miR-30c-5p, hsa-miR-16-5p, hsa-miR-130b-3p, hsa-miR-195-5p,,,,,,,,,,,,,,
EGR2 and SOX10-mediated initiation of Schwann cell myelination,,0.0118187375,0.0325856273,1.4869739145,4.2031746032,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,
Non-integrin membrane-ECM interactions,,0.0120554754,0.0329879582,1.4816445649,2.8658008658,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-16-5p, hsa-miR-130b-3p, hsa-miR-140-3p, hsa-miR-195-5p,,,,,,,,,,,,
Signaling by VEGF,,0.012037256,0.0329879582,1.4816445649,1.8557594292,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks,,0.0120554754,0.0329879582,1.4816445649,2.8658008658,hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p,,,,,,,,,,,,
Cell surface interactions at the vascular wall,,0.0120180535,0.0329879582,1.4816445649,2.1217948718,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p,,,,,,,,,
CD28 co-stimulation,,0.0121694946,0.0332373604,1.478373474,2.2986111111,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,
Activation of gene expression by SREBF (SREBP),,0.0122364478,0.0332950536,1.4776202817,3.3434343434,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-130b-3p, hsa-miR-195-5p,,,,,,,,,,,,,
NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,,0.0122364478,0.0332950536,1.4776202817,3.3434343434,hsa-miR-30c-5p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-376a-3p, hsa-miR-132-3p,,,,,,,,,,,,,
Cellular response to heat stress,,0.0124516721,0.033641189,1.473128663,2.5239651416,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-132-3p,,,,,,,,,,,
Signaling by NTRK2 (TRKB),,0.0124516721,0.033641189,1.473128663,2.5239651416,hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-132-3p,,,,,,,,,,,
FGFR2c ligand binding and activation,FGFR,0.0124710997,0.033641189,1.473128663,5.8070175439,hsa-miR-424-5p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
Membrane Trafficking,,0.0124794225,0.033641189,1.473128663,1.9667260844,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-130b-3p, hsa-miR-132-3p,,,,,,,,
Interactions of Vpr with host cellular proteins,,0.0124710997,0.033641189,1.473128663,5.8070175439,hsa-miR-296-5p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
DNA Double Strand Break Response,,0.0128409213,0.03455159,1.4615319621,2.8290598291,hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p,,,,,,,,,,,,
Evasion of Oncogene Induced Senescence Due to p16INK4A Defects,,0.0132059913,0.0348878279,1.4573260685,3.2837301587,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,
Diseases of Cellular Senescence,,0.0132059913,0.0348878279,1.4573260685,3.2837301587,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,
Small interfering RNA (siRNA) biogenesis,,0.013066459,0.0348878279,1.4573260685,4.0864197531,hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,,,
NoRC negatively regulates rRNA expression,,0.0132059913,0.0348878279,1.4573260685,3.2837301587,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-30b-5p,,,,,,,,,,,,,
Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6,,0.0132059913,0.0348878279,1.4573260685,3.2837301587,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,
Polo-like kinase mediated events,,0.0132059913,0.0348878279,1.4573260685,3.2837301587,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-16-5p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,,
Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6,,0.0132059913,0.0348878279,1.4573260685,3.2837301587,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,
Diseases of cellular response to stress,,0.0132059913,0.0348878279,1.4573260685,3.2837301587,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,
RHO GTPases activate KTN1,,0.013066459,0.0348878279,1.4573260685,4.0864197531,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-101-3p, hsa-miR-195-5p,,,,,,,,,,,,,,
Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,,0.0132059913,0.0348878279,1.4573260685,3.2837301587,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,
Endosomal Sorting Complex Required For Transport (ESCRT),,0.0135383935,0.0353164916,1.4520224469,10.5079365079,hsa-miR-296-5p, hsa-miR-19a-3p,,,,,,,,,,,,,,,,
Budding and maturation of HIV virion,,0.0135383935,0.0353164916,1.4520224469,10.5079365079,hsa-miR-19a-3p, hsa-miR-93-3p,,,,,,,,,,,,,,,,
Activation,,0.0135383935,0.0353164916,1.4520224469,10.5079365079,hsa-miR-296-5p, hsa-miR-376a-3p,,,,,,,,,,,,,,,,
Displacement of DNA glycosylase by APEX1,,0.0135383935,0.0353164916,1.4520224469,10.5079365079,hsa-miR-29b-3p, hsa-miR-16-5p,,,,,,,,,,,,,,,,
Interconversion of nucleotide di- and triphosphates,,0.0135383935,0.0353164916,1.4520224469,10.5079365079,hsa-miR-214-3p, hsa-miR-130b-3p,,,,,,,,,,,,,,,,
Prevention of phagosomal-lysosomal fusion,,0.0135383935,0.0353164916,1.4520224469,10.5079365079,hsa-miR-296-5p, hsa-miR-101-3p,,,,,,,,,,,,,,,,
FCERI mediated MAPK activation,,0.0138596546,0.0360897457,1.4426161782,2.4754273504,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-132-3p,,,,,,,,,,,
Negative regulation of FGFR4 signaling,FGFR,0.0142277164,0.0369158427,1.4327872132,3.2261208577,hsa-miR-424-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,,
Autodegradation of the E3 ubiquitin ligase COP1,,0.0142277164,0.0369158427,1.4327872132,3.2261208577,hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p,,,,,,,,,,,,,
Response of EIF2AK1 (HRI) to heme deficiency,,0.0144214756,0.0370219152,1.4315411186,5.5166666667,hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-30b-5p,,,,,,,,,,,,,,,
Axonal growth stimulation,,0.0144214756,0.0370219152,1.4315411186,5.5166666667,hsa-miR-296-5p, hsa-miR-16-5p, hsa-miR-101-3p,,,,,,,,,,,,,,,
NIK-->noncanonical NF-kB signaling,,0.0144214756,0.0370219152,1.4315411186,5.5166666667,hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
SUMOylation of RNA binding proteins,,0.0143971686,0.0370219152,1.4315411186,3.975975976,hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,
ABC-family proteins mediated transport,,0.0143971686,0.0370219152,1.4315411186,3.975975976,hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-30b-5p, hsa-miR-101-3p,,,,,,,,,,,,,,
Response of EIF2AK4 (GCN2) to amino acid deficiency,,0.0144214756,0.0370219152,1.4315411186,5.5166666667,hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-30b-5p,,,,,,,,,,,,,,,
MET activates PI3K/AKT signaling,,0.0153029415,0.0392154743,1.4065425279,3.1704980843,hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-376a-3p,,,,,,,,,,,,,
Regulation of gene expression by Hypoxia-inducible Factor,,0.0154202693,0.0393772431,1.4047546935,2.7242798354,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-195-5p,,,,,,,,,,,,
Tie2 Signaling,,0.0154202693,0.0393772431,1.4047546935,2.7242798354,hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-376a-3p,,,,,,,,,,,,
Pre-NOTCH Processing in the Endoplasmic Reticulum,NOTCH,0.0158128558,0.04009787,1.3968786968,3.8713450292,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-30b-5p, hsa-miR-101-3p,,,,,,,,,,,,,,
Nephrin family interactions,,0.0158128558,0.04009787,1.3968786968,3.8713450292,hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-101-3p, hsa-miR-376a-3p,,,,,,,,,,,,,,
MicroRNA (miRNA) biogenesis,,0.0158128558,0.04009787,1.3968786968,3.8713450292,hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,,,
RHOF GTPase cycle,,0.0158128558,0.04009787,1.3968786968,3.8713450292,hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-376a-3p, hsa-miR-132-3p,,,,,,,,,,,,,,
Signaling by activated point mutants of FGFR3,FGFR,0.0165379271,0.0409362999,1.3878914148,5.253968254,hsa-miR-424-5p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
p75 NTR receptor-mediated signalling,,0.016190415,0.0409362999,1.3878914148,2.4060228453,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p,,,,,,,,,,,
Regulation of cholesterol biosynthesis by SREBP (SREBF),,0.0164329563,0.0409362999,1.3878914148,3.1167608286,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-130b-3p, hsa-miR-195-5p,,,,,,,,,,,,,
Activated point mutants of FGFR2,FGFR,0.0165379271,0.0409362999,1.3878914148,5.253968254,hsa-miR-424-5p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
FGFR2 mutant receptor activation,FGFR,0.0165379271,0.0409362999,1.3878914148,5.253968254,hsa-miR-424-5p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
Axonal growth inhibition (RHOA activation),,0.0165379271,0.0409362999,1.3878914148,5.253968254,hsa-miR-296-5p, hsa-miR-16-5p, hsa-miR-101-3p,,,,,,,,,,,,,,,
FGFR3c ligand binding and activation,FGFR,0.0165379271,0.0409362999,1.3878914148,5.253968254,hsa-miR-424-5p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
Interleukin-37 signaling,Interleukin,0.0164329563,0.0409362999,1.3878914148,3.1167608286,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-130b-3p, hsa-miR-21-3p,,,,,,,,,,,,,
p75NTR regulates axonogenesis,,0.0165379271,0.0409362999,1.3878914148,5.253968254,hsa-miR-296-5p, hsa-miR-16-5p, hsa-miR-101-3p,,,,,,,,,,,,,,,
FGFR3 mutant receptor activation,FGFR,0.0165379271,0.0409362999,1.3878914148,5.253968254,hsa-miR-424-5p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
FGFR2 ligand binding and activation,FGFR,0.0165379271,0.0409362999,1.3878914148,5.253968254,hsa-miR-424-5p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
Phospholipase C-mediated cascade; FGFR2,FGFR,0.0165379271,0.0409362999,1.3878914148,5.253968254,hsa-miR-424-5p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
FGFR3 ligand binding and activation,FGFR,0.0165379271,0.0409362999,1.3878914148,5.253968254,hsa-miR-424-5p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
Phospholipase C-mediated cascade; FGFR3,FGFR,0.0165379271,0.0409362999,1.3878914148,5.253968254,hsa-miR-424-5p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
RUNX2 regulates genes involved in differentiation of myeloid cells,,0.0173154029,0.042355691,1.3730882285,3.7720797721,hsa-miR-30c-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-195-5p,,,,,,,,,,,,,,
Defective LFNG causes SCDO3,,0.0173154029,0.042355691,1.3730882285,3.7720797721,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-30b-5p, hsa-miR-101-3p,,,,,,,,,,,,,,
trans-Golgi Network Vesicle Budding,,0.0173154029,0.042355691,1.3730882285,3.7720797721,hsa-miR-296-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p,,,,,,,,,,,,,,
Loss of Function of TP53 in Cancer,,0.0173154029,0.042355691,1.3730882285,3.7720797721,hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p,,,,,,,,,,,,,,
DCC mediated attractive signaling,,0.0173154029,0.042355691,1.3730882285,3.7720797721,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-101-3p, hsa-miR-195-5p,,,,,,,,,,,,,,
Loss of function of TP53 in cancer due to loss of tetramerization ability,,0.0173154029,0.042355691,1.3730882285,3.7720797721,hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p,,,,,,,,,,,,,,
PERK regulates gene expression,,0.0173154029,0.042355691,1.3730882285,3.7720797721,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-30b-5p,,,,,,,,,,,,,,
SUMOylation of SUMOylation proteins,,0.0177608482,0.043010854,1.3664219338,9.1944444444,hsa-miR-30c-5p, hsa-miR-214-3p,,,,,,,,,,,,,,,,
Negative regulation of activity of TFAP2 (AP-2) family transcription factors,,0.0177608482,0.043010854,1.3664219338,9.1944444444,hsa-miR-30c-5p, hsa-miR-214-3p,,,,,,,,,,,,,,,,
Activation of BMF and translocation to mitochondria,,0.0177608482,0.043010854,1.3664219338,9.1944444444,hsa-miR-92a-3p, hsa-miR-214-3p,,,,,,,,,,,,,,,,
Vitamin C (ascorbate) metabolism,,0.0177608482,0.043010854,1.3664219338,9.1944444444,hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,,,,,
Processing and activation of SUMO,,0.0177608482,0.043010854,1.3664219338,9.1944444444,hsa-miR-30c-5p, hsa-miR-214-3p,,,,,,,,,,,,,,,,
Biosynthesis of maresins,,0.0177608482,0.043010854,1.3664219338,9.1944444444,hsa-miR-19a-3p, hsa-miR-130b-3p,,,,,,,,,,,,,,,,
Macroautophagy,,0.0178980942,0.0432710996,1.3638020685,2.3618756371,hsa-miR-30c-5p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,,,,,
RET signaling,,0.0183533156,0.0442244903,1.3543371642,2.626984127,hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,
Regulation of HSF1-mediated heat shock response,,0.0183533156,0.0442244903,1.3543371642,2.626984127,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-101-3p, hsa-miR-132-3p,,,,,,,,,,,,
Translation of Replicase and Assembly of the Replication Transcription Complex,,0.0188224226,0.0446368257,1.3503066974,5.0151515152,hsa-miR-30c-5p, hsa-miR-30b-5p, hsa-miR-130b-3p,,,,,,,,,,,,,,,
G beta:gamma signalling through CDC42,,0.0188224226,0.0446368257,1.3503066974,5.0151515152,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-195-5p,,,,,,,,,,,,,,,
Translation of Replicase and Assembly of the Replication Transcription Complex,,0.0188224226,0.0446368257,1.3503066974,5.0151515152,hsa-miR-30c-5p, hsa-miR-30b-5p, hsa-miR-130b-3p,,,,,,,,,,,,,,,
Autophagy,,0.0188001259,0.0446368257,1.3503066974,2.3404040404,hsa-miR-30c-5p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,,,,,
Dectin-1 mediated noncanonical NF-kB signaling,,0.0188224226,0.0446368257,1.3503066974,5.0151515152,hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
TNFR1-induced NFkappaB signaling pathway,,0.0188623613,0.0446368257,1.3503066974,3.014571949,hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-130b-3p, hsa-miR-195-5p,,,,,,,,,,,,,
Metalloprotease DUBs,,0.0188224226,0.0446368257,1.3503066974,5.0151515152,hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-16-5p,,,,,,,,,,,,,,,
SUMOylation of immune response proteins,,0.0188224226,0.0446368257,1.3503066974,5.0151515152,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-214-3p,,,,,,,,,,,,,,,
Interleukin-15 signaling,Interleukin,0.0188623613,0.0446368257,1.3503066974,3.014571949,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-130b-3p, hsa-miR-21-3p,,,,,,,,,,,,,
Neurophilin interactions with VEGF and VEGFR,,0.0188224226,0.0446368257,1.3503066974,5.0151515152,hsa-miR-296-5p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
Regulation of signaling by CBL,,0.0188623613,0.0446368257,1.3503066974,3.014571949,hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-132-3p,,,,,,,,,,,,,
Orc1 removal from chromatin,,0.0189065835,0.0446687248,1.3499964454,3.6777777778,hsa-miR-214-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p,,,,,,,,,,,,,,
Apoptotic cleavage of cellular proteins,,0.0194137761,0.0457925596,1.3392050803,2.5960784314,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-101-3p, hsa-miR-376a-3p,,,,,,,,,,,,
Negative regulation of FGFR3 signaling,FGFR,0.0201641726,0.0473320562,1.3248446284,2.9659498208,hsa-miR-424-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,,
Negative regulation of FGFR2 signaling,FGFR,0.0201641726,0.0473320562,1.3248446284,2.9659498208,hsa-miR-424-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,,
RHOB GTPase cycle,,0.0201641726,0.0473320562,1.3248446284,2.9659498208,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-376a-3p, hsa-miR-132-3p,,,,,,,,,,,,,
CLEC7A (Dectin-1) signaling,,0.0205170824,0.0479179951,1.3195013616,2.5658914729,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,,,,,,
Chromatin organization,,0.0206116634,0.0479179951,1.3195013616,1.9585798817,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-195-5p,,,,,,,,,
BMAL1:CLOCK,,0.0205880604,0.0479179951,1.3195013616,3.5880758808,hsa-miR-30c-5p, hsa-miR-30b-5p, hsa-miR-130b-3p, hsa-miR-376a-3p,,,,,,,,,,,,,,
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,,0.0205880604,0.0479179951,1.3195013616,3.5880758808,hsa-miR-296-5p, hsa-miR-214-3p, hsa-miR-130b-3p, hsa-miR-132-3p,,,,,,,,,,,,,,
RND2 GTPase cycle,,0.0205880604,0.0479179951,1.3195013616,3.5880758808,hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-376a-3p, hsa-miR-132-3p,,,,,,,,,,,,,,
Chromatin modifying enzymes,,0.0206116634,0.0479179951,1.3195013616,1.9585798817,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-195-5p,,,,,,,,,
Parasite infection,,0.0216640895,0.0499142105,1.3017757936,2.5363984674,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-101-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,
Leishmania phagocytosis,,0.0216640895,0.0499142105,1.3017757936,2.5363984674,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-101-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,
